id,name,description,condition_id
1,防風通聖散,「防風通聖散」は、過食や暴飲暴食を促す胃腸の熱をとり除く処方です。熱を体外へ逃すためには、おなかにたまった便を排出することも有効なので、便秘改善にも効果があります。,1
2,大柴胡湯,「大柴胡湯」は、ストレスなどによるエネルギーの停滞を改善し、流れを良くすることで体の熱を取り除く処方です。「大柴胡湯」によって余分な熱が取り除かれると、体内のめぐりが良くなり、滞っていたエネルギーが流れるようになるため、からだがすっきりしてきます。,1
3,防己黄耆湯,「防已黄耆湯」は、胃腸を元気にすることで食べたものをエネルギーに変え、それを使う力、つまり代謝を活性化させて、筋肉のしまりのないからだを引き締める処方です。エネルギーを使う力が高まると、全身の機能も高まり、疲れにくくなります。また、消化を助けながら余分な水も取り除きます。,1
4,黄連解毒湯,「黄連解毒湯（おうれんげどくとう）」は、体を冷やして熱をとり、炎症を鎮めることで、口内炎や皮膚炎を緩和します。,2
5,桂枝茯苓丸料加薏苡仁,「桂枝茯苓丸料加薏苡仁（けいしぶくりょうがんりょうかよくいにん）」は、「血（けつ）」のめぐりを良くして、肌に栄養がいきわたるようにします。,2
6,当帰飲子,「当帰飲子（とうきいんし）」は、「血（けつ）」を補給する「四物湯（しもつとう）」をベースに、「気」を補う生薬やかゆみを止める生薬を配合した処方。肌に栄養分とうるおいを与え、乾燥肌を改善します。,2
7,ヨクイニン,「ヨクイニン」は、肌があれがちな方、肌のキメが乱れているという方、いぼが気になる方などにおすすめです。「ヨクイニン」は、ハトムギの皮を除いた種で、古くからお肌のために用いられてきた生薬です。消炎作用や体の水分バランスを整える作用があると言われ、肌あれや、いぼに効果があります。,2
8,十味敗毒湯,「十味敗毒湯（じゅうみはいどくとう）」は、じんましんや湿疹が出た方、膿をもつような皮膚疾患ができたばかりの方などにおすすめです。「十味敗毒湯」は、患部が湿潤型でじゅくじゅくしているときに、たまっている「水（すい）」や熱を発散させて、肌を正常にしていく処方です。この薬は、有名な江戸時代の医師、華岡青洲が中国の処方を応用し、日本人向けに創った薬として広く使われています。,2
9,当帰四逆加呉茱萸生姜湯,「当帰四逆加呉茱萸生姜湯（とうきしぎゃくかごしゅゆしょうきょうとう）」は、体を温め熱をつくるのを手助けして、手足など末梢を温めるとともに、体の内部にもはたらき、冷えによる諸症状を改善する効果があります。,3
10,桂枝茯苓丸,「桂枝茯苓丸」は、滞った「血（けつ）」のめぐりを良くすることで、のぼせや足冷えなどを感じる方の生理痛、月経不順、月経異常などを改善します。,4
11,当帰芍薬散,「当帰芍薬散（とうきしゃくやくさん）」は、足腰が冷える方、生理不順がある方などにおすすめです。全身に大切な栄養素を与え、血行を良くするのと同時に、水分代謝を整えることで余分な水分を体からとり除いて、足腰の冷え症や生理不順を改善します。,4
12,桃核承気湯,「桃核承気湯（とうかくじょうきとう）」は、「気」「血（けつ）」の流れを良くして、生理前や生理中に起こりがちなこうした症状を緩和します。また、痛みを緩和する生薬を配合しているため、生理痛にも効果が期待できます。,4