id,name,picture_file,description
1,黄芩（おうごん）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/ougon/after_01.jpg,カメムシの大好物！
2,川芎（せんきゅう）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/senkyuu/after_01.jpg,猫にマタタビ、魚にセンキュウ
3,甘草（かんぞう）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/kanzou/after_01.jpg,生薬界のオールラウンドプレーヤー
4,当帰（とうき）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/touki/after_01.jpg,冷え性に悩む女性におすすめ
5,桔梗（ききょう）,https://blog-001.west.edge.storage-yahoo.jp/res/blog-bf-2c/poppo01ji/folder/1076751/91/34654191/img_1_m?1460323832,秋の七草の一つ
6,薄荷（はっか）,https://takeda-kenko.jp/yakuhou/library/plant/images/vol24_img02.jpg,ミントと同じ仲間
7,石膏（せっこう）,https://kampo.jp/wp/wp-content/uploads/2019/02/7f43ebf876961b3cc8156dcadbb86b01-e1549348464998.jpg,珍しい鉱物の生薬
8,防風（ぼうふう） ,https://www.kamponavi.com/med/img/sho/h080.jpg,風邪を防ぐ働きがある
9,白朮（びゃくじゅつ）,http://kamponavi.com/med/img/sho/9090.jpg,お屠蘇に欠かせない
10,麻黄（まおう）,https://www.kamponavi.com/med/img/sho/9100.jpg,“眠気覚まし的”効果がある
11,大黄（だいおう）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/daiou/after_01.jpg,世界で活躍する便秘将軍
12,連翹（れんぎょう）,https://www.kampo-view.com/images/jiten/syouyaku/ra-photo0005.jpg,江戸時代に渡来した
13,荊芥（けいがい）,http://www.ominedo.co.jp/wordpress/wp-content/uploads/2015/04/keigai.jpg,鎮痛、抗菌、抗結核菌作用
14,生姜（しょうきょう）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/syoukyou_kankyou/after_01.jpg,世界各地でおなじみの香辛料
15,山梔子（さんしし）,http://www.ominedo.co.jp/wordpress/wp-content/uploads/2015/04/sanshishi.jpg,クチナシの実
16,滑石（かっせき）,https://www.kampo-view.com/images/jiten/syouyaku/ka-photo0003.jpg,珍しい鉱物の生薬
17,芍薬（しゃくやく） ,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/syakuyaku/after_01.jpg,イライラ解消にぴったり！？
18,芒硝（ぼうしょう）,https://www.kampo-view.com/images/jiten/syouyaku/ha-photo0016.jpg,天然の含水硫酸ナトリウム
19,柴胡(さいこ),https://www.kampo-view.com/images/jiten/syouyaku/sa-photo0001.jpg,解熱・鎮痛・健胃薬などに用いる
20,大棗（たいそう） ,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/taisou/after_01.jpg,「イバラの道」の語源
21,半夏（はんげ）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/hange/after_01.jpg,球茎は栗（クリ）にそっくり！
22,枳実（きじつ）,https://www.kampo-view.com/images/jiten/syouyaku/ka-photo0011.jpg,爽やかな香りの中にピリッと苦み
23,黄耆（おうぎ） ,https://www.kamponavi.com/med/img/sho/a020.jpg,栄養ドリンクにも含まれる生薬
24,防已（ぼうい）,https://www.kamponavi.com/med/img/sho/h070.jpg,リウマチなどの鎮痛薬
25,黄連（おうれん） ,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/ouren/after_01.jpg,姿はまるで揺れる乙女心のよう
26,黄柏（おうばく） ,http://www.yakuzenjoho.net/picture/oubaku2.jpg,役に立つ黄色の力
27,桂皮（けいひ） ,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/keihi/after_01.jpg,「シナモン」でおなじみ！
28,茯苓（ぶくりょう） ,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/bukuryou/after_01.jpg,薬膳料理でも大活躍
29,牡丹皮（ぼたんぴ） ,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/botanpi/after_01.jpg,中国の旧・国花
30,桃仁（とうにん） ,https://takeda-kenko.jp/yakuhou/library/plant/images/vol30_img02.jpg,不老長寿を授けてくれる
31,薏苡仁（よくいにん）,https://www.kampo-sodan.com/wp-content/uploads/yakuzen-2413.png,はとむぎのこと
32,地黄（じおう）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/jiou/after_01.jpg,生薬の世界のお局様
33,蒺莉子（しつりし） ,http://www.kanpoyaku-nakaya.com/siturisi.files/img289.jpg,瘀血を改善する
34,何首鳥（かしゅう）,http://www.kanpoyaku-nakaya.com/kasyuu.files/img214.jpg,不老長寿の妙薬
35,桜皮(おうひ),http://dentomed.toyama-wakan.net/syouyaku/SCC000136_1.jpg,柔らかい調和のとれた香り
36,独活(どくかつ),https://www.kampo-view.com/images/jiten/syouyaku/ta-photo0017.jpg,関節や筋肉の冷えなどによる痛みを鎮める
37,木通（もくつう） ,https://www.kampo-view.com/images/jiten/syouyaku/ma-photo0003.jpg,つる性の茎を乾燥したもの
38,細辛（さいしん） ,https://www.kamponavi.com/med/img/sho/s010.jpg,口内炎によく使われる
39,呉茱萸（ごしゅゆ） ,http://www.kamponote.com/admn/wp-content/uploads/2017/02/image1.jpg,スパイシーな強い香り
40,沢瀉（たくしゃ）,https://takeda-kenko.jp/assets/img/kenkolife/encyclopedia/illustrated/takusya/after_01.jpg,武士に緑起のいい「勝軍草」